Location Id,Depot Id,Vehicle Type,Loading Time - Fixed,Unloading Time - Fixed,Loading Time - Variable,Unloading Time - Variable
2423,30103,dd,02:00:00,02:00:00,00:00:00,00:00:00
2590,30103,dd,02:00:00,02:00:00,00:00:00,00:00:00
2833,30103,dd,02:00:00,02:00:00,00:00:00,00:00:00
2924,30103,dd,02:00:00,02:00:00,00:00:00,00:00:00
3036,30103,dd,02:00:00,02:00:00,00:00:00,00:00:00
3040,30103,dd,02:00:00,02:00:00,00:00:00,00:00:00
3047,30103,dd,02:00:00,02:00:00,00:00:00,00:00:00
3149,30103,dd,02:00:00,02:00:00,00:00:00,00:00:00
3178,30103,dd,02:00:00,02:00:00,00:00:00,00:00:00
3384,30103,dd,02:00:00,02:00:00,00:00:00,00:00:00
6002,30103,dd,02:00:00,02:00:00,00:00:00,00:00:00
6056,30103,dd,02:00:00,02:00:00,00:00:00,00:00:00
6294,30103,dd,02:00:00,02:00:00,00:00:00,00:00:00
3493,30103,dd,02:00:00,02:00:00,00:00:00,00:00:00
2017,30053,dd,01:30:00,01:30:00,00:00:00,00:00:00
2733,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
2770,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
2772,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
2819,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
2846,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
2850,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
2900,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
3084,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
3188,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
3239,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
3290,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
3398,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
3440,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
5014,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
5332,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
5851,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
6197,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
6226,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
6638,30102,dd,02:00:00,02:00:00,00:00:00,00:00:00
2008,30053,dd,01:30:00,01:30:00,00:00:00,00:00:00
2038,30053,dd,01:30:00,01:30:00,00:00:00,00:00:00
2041,30053,dd,01:30:00,01:30:00,00:00:00,00:00:00
2047,30053,dd,01:30:00,01:30:00,00:00:00,00:00:00
2064,30053,dd,01:30:00,01:30:00,00:00:00,00:00:00
2162,30053,dd,01:30:00,01:30:00,00:00:00,00:00:00
3220,30053,dd,01:30:00,01:30:00,00:00:00,00:00:00
3230,30053,dd,01:30:00,01:30:00,00:00:00,00:00:00
3324,30053,dd,01:30:00,01:30:00,00:00:00,00:00:00
5135,30053,dd,01:30:00,01:30:00,00:00:00,00:00:00
2371,68807,dd,02:00:00,02:00:00,00:00:00,00:00:00
2638,68807,dd,02:00:00,02:00:00,00:00:00,00:00:00
2917,68807,dd,02:00:00,02:00:00,00:00:00,00:00:00
2969,68807,dd,02:00:00,02:00:00,00:00:00,00:00:00
2971,68807,dd,02:00:00,02:00:00,00:00:00,00:00:00
5109,68807,dd,02:00:00,02:00:00,00:00:00,00:00:00
5185,68807,dd,02:00:00,02:00:00,00:00:00,00:00:00
2200,30052,dd,02:00:00,02:00:00,00:00:00,00:00:00
2422,30052,dd,02:00:00,02:00:00,00:00:00,00:00:00
2560,30052,dd,02:00:00,02:00:00,00:00:00,00:00:00
2934,30052,dd,02:00:00,02:00:00,00:00:00,00:00:00
3112,30052,dd,02:00:00,02:00:00,00:00:00,00:00:00
3235,30052,dd,02:00:00,02:00:00,00:00:00,00:00:00
5601,30052,dd,02:00:00,02:00:00,00:00:00,00:00:00
2065,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
2166,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
2174,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
2310,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
2326,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
2470,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
2748,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
2877,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
2882,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
2889,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
2955,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
3130,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
3234,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
3240,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
3301,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
3490,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
5123,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
5125,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
5210,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
5939,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
6814,37198,dd,02:00:00,02:00:00,00:00:00,00:00:00
